gene_id,symbol,name,chr,start,end,set
5567,PRKACB,"protein kinase, cAMP-dependent, catalytic, beta",1,84543745,84704181,post
23576,DDAH1,dimethylarginine dimethylaminohydrolase 1,1,85784168,86043933,post
6125,RPL5,ribosomal protein L5,1,93297597,93307481,post
5825,ABCD3,"ATP-binding cassette, sub-family D (ALD), member 3",1,94883933,94984222,post
178,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",1,100315640,100389579,post
1629,DBT,dihydrolipoamide branched chain transacylase E2,1,100659736,100715390,post
6814,STXBP3,syntaxin binding protein 3,1,109289296,109352148,post
22911,WDR47,WD repeat domain 47,1,109512836,109584850,post
6301,SARS,seryl-tRNA synthetase,1,109756540,109780791,post
2773,GNAI3,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3",1,110091233,110136975,post
271,AMPD2,adenosine monophosphate deaminase 2,1,110162459,110174675,post
2946,GSTM2,glutathione S-transferase mu 2 (muscle),1,110210644,110252171,post
2947,GSTM3,glutathione S-transferase mu 3 (brain),1,110276554,110283660,post
10768,AHCYL1,adenosylhomocysteinase-like 1,1,110527308,110566357,post
3737,KCNA2,"potassium voltage-gated channel, shaker-related subfamily, member 2",1,111136202,111174096,post
515,ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1",1,111991486,112005395,post
5906,RAP1A,"RAP1A, member of RAS oncogene family",1,112084840,112259313,post
829,CAPZA1,"capping protein (actin filament) muscle Z-line, alpha 1",1,113161795,113214241,post
4893,NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,1,115247090,115259515,post
6847,SYCP1,synaptonemal complex protein 1,1,115397424,115537991,post
476,ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",1,116915290,116952883,post
26227,PHGDH,phosphoglycerate dehydrogenase,1,120202421,120286838,post
9554,SEC22B,SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene),1,145096220,145116922,post
8799,PEX11B,peroxisomal biogenesis factor 11 beta,1,145516252,145523730,post
9900,SV2A,synaptic vesicle glycoprotein 2A,1,149874870,149889434,post
11311,VPS45,vacuolar protein sorting 45 homolog (S. cerevisiae),1,150039342,150117505,post
405,ARNT,aryl hydrocarbon receptor nuclear translocator,1,150782181,150849244,post
81609,SNX27,sorting nexin family member 27,1,151584541,151671567,post
6280,S100A9,S100 calcium binding protein A9,1,153330330,153333503,post
6275,S100A4,S100 calcium binding protein A4,1,153516089,153522612,post
5872,RAB13,"RAB13, member RAS oncogene family",1,153954127,153958834,post
6232,RPS27,ribosomal protein S27,1,153963235,153964626,post
7170,TPM3,tropomyosin 3,1,154127784,154167124,post
103,ADAR,"adenosine deaminase, RNA-specific",1,154554537,154600475,post
10654,PMVK,phosphomevalonate kinase,1,154897210,154909467,post
57326,PBXIP1,pre-B-cell leukemia homeobox interacting protein 1,1,154916552,154928609,post
6464,SHC1,SHC (Src homology 2 domain containing) transforming protein 1,1,154934774,154946959,post
4580,MTX1,metaxin 1,1,155178490,155183614,post
5313,PKLR,"pyruvate kinase, liver and RBC",1,155259086,155271225,post
2224,FDPS,farnesyl diphosphate synthase,1,155278539,155290457,post
9181,ARHGEF2,Rho/Rac guanine nucleotide exchange factor (GEF) 2,1,155916645,155966129,post
4000,LMNA,lamin A/C,1,156052364,156109880,post
7203,CCT3,"chaperonin containing TCP1, subunit 3 (gamma)",1,156278752,156337664,post
60484,HAPLN2,hyaluronan and proteoglycan link protein 2,1,156589086,156595517,post
63827,BCAN,brevican,1,156611182,156629324,post
2532,DARC,"Duffy blood group, chemokine receptor",1,159173097,159176290,post
8407,TAGLN2,transgelin 2,1,159887897,159895522,post
93185,IGSF8,"immunoglobulin superfamily, member 8",1,160061130,160068733,post
477,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",1,160085549,160113381,post
480,ATP1A4,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",1,160121352,160156767,post
8682,PEA15,phosphoprotein enriched in astrocytes 15,1,160175127,160185166,post
1314,COPA,"coatomer protein complex, subunit alpha",1,160259063,160313190,post
4720,NDUFS2,"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)",1,161166894,161184185,post
84134,TOMM40L,translocase of outer mitochondrial membrane 40 homolog (yeast)-like,1,161195793,161200408,post
3310,HSPA6,heat shock 70kDa protein 6 (HSP70B'),1,161494036,161496681,post
4259,MGST3,microsomal glutathione S-transferase 3,1,165600098,165631033,post
25874,BRP44,brain protein 44,1,167885967,167906278,post
481,ATP1B1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",1,169074935,169101960,post
22920,KIFAP3,kinesin-associated protein 3,1,169890467,170054349,post
26052,DNM3,dynamin 3,1,171810621,172387606,post
9588,PRDX6,peroxiredoxin 6,1,173446405,173457946,post
27101,CACYBP,calcyclin binding protein,1,174968300,174980851,post
7143,TNR,"tenascin R (restrictin, janusin)",1,175291935,175712906,post
460,ASTN1,astrotactin 1,1,176826438,177134024,post
9462,RASAL2,RAS protein activator like 2,1,178063276,178447985,post
2752,GLUL,glutamate-ammonia ligase,1,182350839,182361341,post
85397,RGS8,regulator of G-protein signaling 8,1,182615239,182653711,post
5321,PLA2G4A,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",1,186798032,186958113,post
1465,CSRP1,cysteine and glycine-rich protein 1,1,201452658,201478584,post
127833,SYT2,synaptotagmin II,1,202559724,202679545,post
51706,CYB5R1,cytochrome b5 reductase 1,1,202930997,202936408,post
8497,PPFIA4,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4",1,202995626,203047864,post
493,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4",1,203595689,203713209,post
22874,PLEKHA6,"pleckstrin homology domain containing, family A member 6",1,204190349,204329044,post
23114,NFASC,neurofascin,1,204797779,204991950,post
6900,CNTN2,contactin 2 (axonal),1,205012415,205047144,post
5362,PLXNA2,plexin A2,1,208195587,208417665,post
2058,EPRS,glutamyl-prolyl-tRNA synthetase,1,220141943,220220000,post
55699,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",1,220267444,220321380,post
25782,RAB3GAP2,RAB3 GTPase activating protein subunit 2 (non-catalytic),1,220321635,220445796,post
4139,MARK1,MAP/microtubule affinity-regulating kinase 1,1,220701568,220837803,post
54996,MOSC2,MOCO sulphurase C-terminal domain containing 2,1,220921567,220958150,post
11221,DUSP10,dual specificity phosphatase 10,1,221874766,221915518,post
55740,ENAH,enabled homolog (Drosophila),1,225677502,225840844,post
142,PARP1,poly (ADP-ribose) polymerase 1,1,226548392,226595776,post
8476,CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),1,227177566,227506175,post
375,ARF1,ADP-ribosylation factor 1,1,228270361,228286910,post
2987,GUK1,guanylate kinase 1,1,228327663,228336685,post
8443,GNPAT,glyceronephosphate O-acyltransferase,1,231376919,231413719,post
149371,EXOC8,exocyst complex component 8,1,231468480,231473598,post
9804,TOMM20,translocase of outer mitochondrial membrane 20 homolog (yeast),1,235272651,235292251,post
128178,EDARADD,EDAR-associated death domain,1,236511562,236648026,post
3964,LGALS8,"lectin, galactoside-binding, soluble, 8",1,236681300,236716281,post
88,ACTN2,"actinin, alpha 2",1,236849808,236927931,post
6262,RYR2,ryanodine receptor 2 (cardiac),1,237205505,237997288,post
56776,FMN2,formin 2,1,240177648,240638489,post
6000,RGS7,regulator of G-protein signaling 7,1,240938815,241520530,post
2271,FH,fumarate hydratase,1,241660903,241683061,post
51097,SCCPDH,saccharopine dehydrogenase (putative),1,246887349,246931439,post
52,ACP1,"acid phosphatase 1, soluble",2,264140,278283,post
6201,RPS7,ribosomal protein S7,2,3622795,3628509,post
10971,YWHAQ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide",2,9724101,9771143,post
10130,PDIA6,"protein disulfide isomerase family A, member 6",2,10923517,10978103,post
9475,ROCK2,"Rho-associated, coiled-coil containing protein kinase 2",2,11319887,11488456,post
1653,DDX1,DEAD (Asp-Glu-Ala-Asp) box polypeptide 1,2,15731302,15771225,post
81553,FAM49A,"family with sequence similarity 49, member A",2,16730727,16847599,post
7447,VSNL1,visinin-like 1,2,17720393,17838285,post
93034,NT5C1B,"5'-nucleotidase, cytosolic IB",2,18736811,18770830,post
388,RHOB,"ras homolog gene family, member B",2,20646835,20649206,post
2281,FKBP1B,"FK506 binding protein 1B, 12.6 kDa",2,24272571,24286551,post
50618,ITSN2,intersectin 2,2,24425733,24583583,post
22979,EFR3B,EFR3 homolog B (S. cerevisiae),2,25264999,25378243,post
10890,RAB10,"RAB10, member RAS oncogene family",2,26256976,26360323,post
3030,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit",2,26413504,26467594,post
3032,HADHB,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit",2,26466038,26513336,post
56896,DPYSL5,dihydropyrimidinase-like 5,2,27070615,27173219,post
22924,MAPRE3,"microtubule-associated protein, RP/EB family, member 3",2,27193480,27250064,post
790,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",2,27440258,27466660,post
7781,SLC30A3,"solute carrier family 30 (zinc transporter), member 3",2,27476552,27498685,post
5500,PPP1CB,"protein phosphatase 1, catalytic subunit, beta isozyme",2,28974506,29025806,post
30845,EHD3,EH-domain containing 3,2,31457203,31492313,post
57448,BIRC6,baculoviral IAP repeat-containing 6,2,32582096,32843966,post
6801,STRN,"striatin, calmodulin binding protein",2,37070783,37193615,post
5610,EIF2AK2,eukaryotic translation initiation factor 2-alpha kinase 2,2,37326353,37384208,post
1545,CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",2,38294116,38337044,post
64225,ATL2,atlastin GTPase 2,2,38522022,38604432,post
6654,SOS1,son of sevenless homolog 1 (Drosophila),2,39208537,39351486,post
9167,COX7A2L,cytochrome c oxidase subunit VIIa polypeptide 2 like,2,42560686,42596150,post
10128,LRPPRC,leucine-rich PPR-motif containing,2,44113647,44223144,post
5581,PRKCE,"protein kinase C, epsilon",2,45878484,46415129,post
90423,ATP6V1E2,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2",2,46738986,46747096,post
9419,CRIPT,cysteine-rich PDZ-binding protein,2,46843555,46852881,post
805,CALM2,"calmodulin 2 (phosphorylase kinase, delta)",2,47272677,47403740,post
129285,KLRAQ1,KLRAQ motif containing 1,2,48667737,48742525,post
9378,NRXN1,neurexin 1,2,50145643,51259674,post
98,ACYP2,"acylphosphatase 2, muscle type",2,54342540,54532437,post
6711,SPTBN1,"spectrin, beta, non-erythrocytic 1",2,54683422,54896812,post
57142,RTN4,reticulon 4,2,55199325,55339757,post
6233,RPS27A,ribosomal protein S27a,2,55459039,55462989,post
7514,XPO1,"exportin 1 (CRM1 homolog, yeast)",2,61704984,61765761,post
10575,CCT4,"chaperonin containing TCP1, subunit 4 (delta)",2,62095224,62115939,post
4190,MDH1,"malate dehydrogenase 1, NAD (soluble)",2,63815743,63834331,post
7360,UGP2,UDP-glucose pyrophosphorylase 2,2,64068074,64118696,post
5861,RAB1A,"RAB1A, member RAS oncogene family",2,65297835,65357240,post
10097,ACTR2,ARP2 actin-related protein 2 homolog (yeast),2,65454887,65498387,post
5341,PLEK,pleckstrin,2,68592305,68624585,post
22848,AAK1,AP2 associated kinase 1,2,69688532,69901481,post
5093,PCBP1,poly(rC) binding protein 1,2,70314585,70316332,post
119,ADD2,adducin 2 (beta),2,70834750,70995357,post
23233,EXOC6B,exocyst complex component 6B,2,72403113,73053177,post
94097,SFXN5,sideroflexin 5,2,73169165,73302747,post
26056,RAB11FIP5,RAB11 family interacting protein 5 (class I),2,73300510,73383849,post
10574,CCT7,"chaperonin containing TCP1, subunit 7 (eta)",2,73460548,73480132,post
150726,FBXO41,F-box protein 41,2,73481800,73498043,post
1639,DCTN1,dynactin 1,2,74588281,74619214,post
1496,CTNNA2,"catenin (cadherin-associated protein), alpha 2",2,79412357,80875905,post
347730,LRRTM1,leucine rich repeat transmembrane neuronal 1,2,80515483,80531874,post
8802,SUCLG1,"succinate-CoA ligase, alpha subunit",2,84650647,84687169,post
822,CAPG,"capping protein (actin filament), gelsolin-like",2,85621871,85645555,post
10989,IMMT,"inner membrane protein, mitochondrial",2,86371055,86422893,post
1329,COX5B,cytochrome c oxidase subunit Vb,2,98262503,98264846,post
10120,ACTR1B,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)",2,98272431,98280570,post
6160,RPL31,ribosomal protein L31,2,101618177,101640494,post
151011,SEPT10,septin 10,2,110300380,110371783,post
10096,ACTR3,ARP3 actin-related protein 3 homolog (yeast),2,114647537,114720173,post
54520,CCDC93,coiled-coil domain containing 93,2,118673054,118771709,post
23332,CLASP1,cytoplasmic linker associated protein 1,2,122095352,122407163,post
274,BIN1,bridging integrator 1,2,127805603,127864931,post
22930,RAB3GAP1,RAB3 GTPase activating protein subunit 1 (catalytic),2,135809835,135933964,post
1615,DARS,aspartyl-tRNA synthetase,2,136664247,136743670,post
3800,KIF5C,kinesin family member 5C,2,149632819,149883273,post
785,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit",2,152689290,152955593,post
114793,FMNL2,formin-like 2,2,153191751,153506348,post
2820,GPD2,glycerol-3-phosphate dehydrogenase 2 (mitochondrial),2,157291802,157470247,post
8502,PKP4,plakophilin 4,2,159313476,159539391,post
10213,PSMD14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",2,162164549,162268228,post
6326,SCN2A,"sodium channel, voltage-gated, type II, alpha subunit",2,166095912,166248818,post
27347,STK39,serine threonine kinase 39,2,168810530,169104651,post
2571,GAD1,"glutamate decarboxylase 1 (brain, 67kDa)",2,171669723,171717661,post
79901,CYBRD1,cytochrome b reductase 1,2,172378757,172414643,post
1781,DYNC1I2,"dynein, cytoplasmic 1, intermediate chain 2",2,172543919,172604930,post
8604,SLC25A12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",2,172640880,172864766,post
11069,RAPGEF4,Rap guanine nucleotide exchange factor (GEF) 4,2,173600002,173917621,post
29789,OLA1,Obg-like ATPase 1,2,174937175,175113426,post
10651,MTX2,metaxin 2,2,177134123,177202753,post
50940,PDE11A,phosphodiesterase 11A,2,178487979,178973066,post
8575,PRKRA,"protein kinase, interferon-inducible double stranded RNA dependent activator",2,179296141,179316239,post
91404,SESTD1,SEC14 and spectrin domains 1,2,179966419,180129517,post
5136,PDE1A,"phosphodiesterase 1A, calmodulin-dependent",2,183004763,183387919,post
10787,NCKAP1,NCK-associated protein 1,2,183789605,183903586,post
26275,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,2,191054461,191208919,post
2744,GLS,glutaminase,2,191745553,191830278,post
6772,STAT1,"signal transducer and activator of transcription 1, 91kDa",2,191829084,191885686,post
4430,MYO1B,myosin IB,2,192109911,192290115,post
57520,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",2,197063977,197458416,post
80219,COQ10B,coenzyme Q10 homolog B (S. cerevisiae),2,198318147,198340032,post
3329,HSPD1,heat shock 60kDa protein 1 (chaperonin),2,198351305,198381461,post
10152,ABI2,abl-interactor 2,2,204192942,204301606,post
65059,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,2,204259068,204400133,post
4719,NDUFS1,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",2,206986149,207024327,post
1933,EEF1B2,eukaryotic translation elongation factor 1 beta 2,2,207024309,207027652,post
8745,ADAM23,ADAM metallopeptidase domain 23,2,207308263,207485851,post
4133,MAP2,microtubule-associated protein 2,2,210288782,210598842,post
10314,LANCL1,LanC lantibiotic synthetase component C-like 1 (bacterial),2,211295973,211342376,post
471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,2,216176540,216214487,post
10109,ARPC2,"actin related protein 2/3 complex, subunit 2, 34kDa",2,219081817,219119079,post
25953,PNKD,paroxysmal nonkinesigenic dyskinesia,2,219135115,219211516,post
7277,TUBA4A,"tubulin, alpha 4a",2,220114433,220142892,post
3300,DNAJB2,"DnaJ (Hsp40) homolog, subfamily B, member 2",2,220143989,220151622,post
1674,DES,desmin,2,220283099,220291461,post
6508,SLC4A3,"solute carrier family 4, anion exchanger, member 3",2,220492049,220506702,post
2043,EPHA4,EPH receptor A4,2,222282747,222438922,post
10056,FARSB,"phenylalanyl-tRNA synthetase, beta subunit",2,223435255,223521056,post
2181,ACSL3,acyl-CoA synthetase long-chain family member 3,2,223725652,223809357,post
5270,SERPINE2,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",2,224839765,224904036,post
55619,DOCK10,dedicator of cytokinesis 10,2,225629807,225907330,post
3667,IRS1,insulin receptor substrate 1,2,227599757,227664475,post
56947,MFF,mitochondrial fission factor,2,228189867,228222550,post
5707,PSMD1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",2,231921578,232037541,post
25791,NGEF,neuronal guanine nucleotide exchange factor,2,233743396,233877982,post
55054,ATG16L1,ATG16 autophagy related 16-like 1 (S. cerevisiae),2,234118697,234204320,post
116987,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",2,236402733,237035198,post
4705,NDUFA10,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa",2,240831867,240964819,post
2817,GPC1,glypican 1,2,241375088,241407493,post
547,KIF1A,kinesin family member 1A,2,241653181,241759637,post
5510,PPP1R7,"protein phosphatase 1, regulatory (inhibitor) subunit 7",2,242088991,242123067,post
3069,HDLBP,high density lipoprotein binding protein,2,242166679,242256476,post
4735,SEPT2,septin 2,2,242254515,242293442,post
10752,CHL1,cell adhesion molecule with homology to L1CAM (close homolog of L1),3,238279,451090,post
2917,GRM7,"glutamate receptor, metabotropic 7",3,6811688,7783215,post
9901,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,3,9022275,9291369,post
64419,MTMR14,myotubularin related protein 14,3,9691117,9744077,post
10093,ARPC4,"actin related protein 2/3 complex, subunit 4, 20kDa",3,9834227,9870736,post
6396,SEC13,SEC13 homolog (S. cerevisiae),3,10334815,10362862,post
491,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",3,10365707,10749716,post
6854,SYN2,synapsin II,3,12045862,12232907,post
5894,RAF1,v-raf-1 murine leukemia viral oncogene homolog 1,3,12625100,12705725,post
23066,CAND2,cullin-associated and neddylation-dissociated 2 (putative),3,12837971,12913415,post
9922,IQSEC1,IQ motif and Sec7 domain 1,3,12938719,13114617,post
23180,RFTN1,"raftlin, lipid raft linker 1",3,16357352,16555533,post
5868,RAB5A,"RAB5A, member RAS oncogene family",3,19988571,20026667,post
28512,NKIRAS1,NFKB inhibitor interacting Ras-like 1,3,23933151,23988082,post
152100,CMC1,COX assembly mitochondrial protein homolog (S. cerevisiae),3,28283075,28366633,post
64343,AZI2,5-azacytidine induced 2,3,28356494,28390618,post
51143,DYNC1LI1,"dynein, cytoplasmic 1, light intermediate chain 1",3,32567463,32612366,post
23122,CLASP2,cytoplasmic linker associated protein 2,3,33537737,33759848,post
10015,PDCD6IP,programmed cell death 6 interacting protein,3,33839557,33911194,post
5333,PLCD1,"phospholipase C, delta 1",3,38048987,38071253,post
30,ACAA1,acetyl-CoA acyltransferase 1,3,38164201,38178733,post
57599,WDR48,WD repeat domain 48,3,39093489,39138155,post
3921,RPSA,ribosomal protein SA,3,39448180,39454030,post
9045,RPL14,ribosomal protein L14,3,40498783,40503861,post
1499,CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa",3,41236328,41301587,post
25994,HIGD1A,"HIG1 hypoxia inducible domain family, member 1A",3,42798669,42846023,post
22908,SACM1L,SAC1 suppressor of actin mutations 1-like (yeast),3,45730548,45786901,post
25930,PTPN23,"protein tyrosine phosphatase, non-receptor type 23",3,47422491,47454931,post
10675,CSPG5,chondroitin sulfate proteoglycan 5 (neuroglycan C),3,47603729,47622282,post
22907,DHX30,DEAH (Asp-Glu-Ala-His) box polypeptide 30,3,47844399,47891683,post
4134,MAP4,microtubule-associated protein 4,3,47892182,48130769,post
7384,UQCRC1,ubiquinol-cytochrome c reductase core protein I,3,48636435,48648409,post
51517,NCKIPSD,NCK interacting protein with SH3 domain,3,48701364,48723797,post
5576,PRKAR2A,"protein kinase, cAMP-dependent, regulatory, type II, alpha",3,48782030,48885279,post
11180,WDR6,WD repeat domain 6,3,49044495,49053386,post
5859,QARS,glutaminyl-tRNA synthetase,3,49133365,49142534,post
2876,GPX1,glutathione peroxidase 1,3,49394609,49396033,post
387,RHOA,"ras homolog gene family, member A",3,49396578,49450431,post
8927,BSN,bassoon (presynaptic cytomatrix protein),3,49591922,49708978,post
79012,CAMKV,CaM kinase-like vesicle-associated,3,49895421,49907655,post
2771,GNAI2,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",3,50263724,50296787,post
9254,CACNA2D2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",3,50400233,50541675,post
1795,DOCK3,dedicator of cytokinesis 3,3,50712672,51421629,post
2912,GRM2,"glutamate receptor, metabotropic 2",3,51741086,51752629,post
84836,ABHD14B,abhydrolase domain containing 14B,3,51995228,52017425,post
7086,TKT,transketolase,3,53258723,53290068,post
55799,CACNA2D3,"calcium channel, voltage-dependent, alpha 2/delta subunit 3",3,54156574,55108584,post
26059,ERC2,ELKS/RAB6-interacting/CAST family member 2,3,55542336,56502391,post
26060,APPL1,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1",3,57261765,57307496,post
7871,SLMAP,sarcolemma associated protein,3,57741177,57914895,post
5162,PDHB,pyruvate dehydrogenase (lipoamide) beta,3,58413357,58419584,post
11170,FAM107A,"family with sequence similarity 107, member A",3,58549844,58613337,post
8618,CADPS,Ca++-dependent secretion activator,3,62384021,62861064,post
166336,PRICKLE2,prickle homolog 2 (Drosophila),3,64079543,64253655,post
84864,MINA,MYC induced nuclear antigen,3,97660661,97691301,post
9868,TOMM70A,translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae),3,100082275,100120242,post
6152,RPL24,ribosomal protein L24,3,101399935,101405626,post
29114,TAGLN3,transgelin 3,3,111717511,111732734,post
